TrainNumber;MoveDate;WagonTypeName;MoveTime;SaleCenterName;Register;TariffName;Price;Ticket Sold
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/01/31 13:23:58; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/01/31 13:23:58; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/01/31 13:23:59; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/01/31 13:23:59; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/01/31 13:26:34; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;¬—«‰ ”Ì—;1398/02/05 12:53:19; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;¬—«‰ ”Ì—;1398/02/05 12:53:19; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;¬—«‰ ”Ì—;1398/02/05 12:53:19; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;¬—«‰ ”Ì—;1398/02/05 12:53:20;ﬂ”— ﬂÊÅÂ;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/05 21:24:28; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/05 21:24:29; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/06 22:41:53; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/06 22:41:53; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/06 22:41:53; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/06 22:41:53; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/07 0:22:10; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/07 0:22:10;ﬂ”— ﬂÊÅÂ;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/07 0:22:10;ﬂ”— ﬂÊÅÂ;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/07 0:22:9; „«„;866500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«œ«—Ì „—ﬂ“2;1398/02/07 11:32:51; „«„;-48500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«œ«—Ì „—ﬂ“2;1398/02/07 11:32:51; „«„;-48500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«ﬁ’Ì ‰»Ì;1398/02/07 14:43:40; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«ﬁ’Ì ‰»Ì;1398/02/07 14:43:43; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«ﬁ’Ì ‰»Ì;1398/02/07 14:43:43; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/07 15:35:9; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;Å—Ì ”Ì—;1398/02/08 10:30:21;Ã«‰»«“;366000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;atighgasht2;1398/02/08 11:39:20; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;„«Âﬂ;1398/02/08 15:5:47; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ ”Â;1398/02/08 18:23:36; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00; «„Ì‰ ”Â;1398/02/08 18:23:36; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;«Ì‰ —‰ ;1398/02/09 10:5:34; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—›«Â „‘Âœ;1398/02/09 11:8:59; „«„;-48500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;—›«Â „‘Âœ;1398/02/09 11:8:59; „«„;-48500;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/09 15:52:34; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/09 15:52:34; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;”›— Ì«— êÊÂ—  Ê”;1398/02/09 19:12:24; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/10 12:39:46; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/10 12:39:46; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/10 12:39:46; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/10 12:39:46;ﬂ”— ﬂÊÅÂ;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/10 14:46:56; „«„;677000;
316;1398/02/13;4 ” «—Â ”—Ê‘;16:25:00;ali baba;1398/02/10 14:46:56; „«„;677000;
