TrainNumber	MoveDate	WagonTypeName	MoveTime	SaleCenterName	Register	TariffName	Price	Ticket,Sold
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/01/31,13:23:58	تمام	866500	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/01/31,13:23:58	تمام	866500	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/01/31,13:23:59	تمام	866500	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/01/31,13:23:59	تمام	866500	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/01/31,13:26:34	تمام	866500	
316	1398/02/13	4,ستاره,سروش	16:25:00	آران,سير	1398/02/05,12:53:19	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	آران,سير	1398/02/05,12:53:19	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	آران,سير	1398/02/05,12:53:19	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	آران,سير	1398/02/05,12:53:20	كسر,كوپه	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/05,21:24:28	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/05,21:24:29	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/06,22:41:53	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/06,22:41:53	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/06,22:41:53	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/06,22:41:53	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/07,0:22:10	تمام	866500	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/07,0:22:10	كسر,كوپه	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/07,0:22:10	كسر,كوپه	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/07,0:22:9	تمام	866500	
316	1398/02/13	4,ستاره,سروش	16:25:00	اداري,مركز2	1398/02/07,11:32:51	تمام	-48500	
316	1398/02/13	4,ستاره,سروش	16:25:00	اداري,مركز2	1398/02/07,11:32:51	تمام	-48500	
316	1398/02/13	4,ستاره,سروش	16:25:00	اقصي,نبي	1398/02/07,14:43:40	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اقصي,نبي	1398/02/07,14:43:43	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	اقصي,نبي	1398/02/07,14:43:43	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	ali,baba	1398/02/07,15:35:9	تمام	677000	
316	1398/02/13	4,ستاره,سروش	16:25:00	پري,سير	1398/02/08,10:30:21	جانباز	366000	
